Modèle,MAE,RMSE,R²,MAPE,Bias
XGBoost,"$19,791","$24,987",0.9710,4.5%,"$-1,771"
LightGBM,"$20,065","$25,367",0.9701,4.5%,"$-1,525"
RandomForest,"$19,910","$25,112",0.9707,4.5%,"$-1,911"
